         month          | payments_count | total_paid  | avg_payment | smallest_payment | largest_payment 
------------------------+----------------+-------------+-------------+------------------+-----------------
 2029-12-01 00:00:00+02 |           3399 | 26960487.51 |     7931.89 |           802.46 |        14999.31
 2029-11-01 00:00:00+02 |           2508 | 19987533.55 |     7969.51 |           803.12 |        14999.99
 2029-10-01 00:00:00+03 |           2191 | 17662527.22 |     8061.40 |           807.06 |        14999.54
 2029-09-01 00:00:00+03 |           1968 | 15471297.63 |     7861.43 |           802.57 |        14994.17
 2029-08-01 00:00:00+03 |           1845 | 14650589.99 |     7940.70 |           803.18 |        14996.88
 2029-07-01 00:00:00+03 |           1809 | 14146821.13 |     7820.24 |           802.14 |        14988.78
 2029-06-01 00:00:00+03 |           1665 | 13092369.78 |     7863.29 |           806.92 |        14995.54
 2029-05-01 00:00:00+03 |           1582 | 12614456.72 |     7973.74 |           803.82 |        14999.73
 2029-04-01 00:00:00+03 |           1495 | 11603571.60 |     7761.59 |           802.65 |        14986.92
 2029-03-01 00:00:00+02 |           1445 | 11321799.75 |     7835.16 |           804.25 |        14995.31
 2029-02-01 00:00:00+02 |           1328 | 10723839.51 |     8075.18 |           802.84 |        14998.26
 2029-01-01 00:00:00+02 |           1370 | 10693619.40 |     7805.56 |           803.86 |        14992.64
 2028-12-01 00:00:00+02 |           1272 |  9907124.07 |     7788.62 |           811.99 |        14995.57
 2028-11-01 00:00:00+02 |           1212 |  9689141.71 |     7994.34 |           825.13 |        14993.41
 2028-10-01 00:00:00+03 |           1191 |  9492554.76 |     7970.24 |           816.66 |        14996.56
 2028-09-01 00:00:00+03 |           1157 |  8896703.40 |     7689.46 |           802.56 |        14999.91
 2028-08-01 00:00:00+03 |           1088 |  8348965.39 |     7673.68 |           808.89 |        14999.12
 2028-07-01 00:00:00+03 |           1124 |  9105778.25 |     8101.23 |           802.49 |        14992.60
 2028-06-01 00:00:00+03 |           1056 |  8174425.39 |     7740.93 |           824.68 |        14998.47
 2028-05-01 00:00:00+03 |           1084 |  8367600.86 |     7719.19 |           800.12 |        14991.44
 2028-04-01 00:00:00+03 |            954 |  7531230.29 |     7894.37 |           805.24 |        14992.65
 2028-03-01 00:00:00+02 |           1006 |  7966562.74 |     7919.05 |           807.66 |        14997.63
 2028-02-01 00:00:00+02 |            877 |  6914310.19 |     7884.05 |           801.68 |        14996.08
 2028-01-01 00:00:00+02 |            968 |  7685263.89 |     7939.32 |           800.53 |        14982.75
 2027-12-01 00:00:00+02 |            896 |  7216650.62 |     8054.30 |           801.35 |        14988.30
 2027-11-01 00:00:00+02 |            854 |  6883771.47 |     8060.62 |           856.99 |        14982.75
 2027-10-01 00:00:00+03 |            890 |  6945578.95 |     7804.02 |           813.04 |        14999.56
 2027-09-01 00:00:00+03 |            860 |  6997518.53 |     8136.65 |           806.59 |        14991.31
 2027-08-01 00:00:00+03 |            805 |  6594443.35 |     8191.86 |           803.93 |        14983.13
 2027-07-01 00:00:00+03 |            844 |  6765988.20 |     8016.57 |           801.51 |        14945.76
 2027-06-01 00:00:00+03 |            752 |  5953410.67 |     7916.77 |           852.99 |        14992.64
 2027-05-01 00:00:00+03 |            769 |  5944740.00 |     7730.48 |           800.52 |        14988.91
 2027-04-01 00:00:00+03 |            742 |  5676245.25 |     7649.93 |           800.76 |        14996.28
 2027-03-01 00:00:00+02 |            733 |  5808211.88 |     7923.89 |           801.92 |        14934.75
 2027-02-01 00:00:00+02 |            583 |  4521800.71 |     7756.09 |           839.10 |        14992.55
 2027-01-01 00:00:00+02 |            654 |  5111678.14 |     7816.02 |           871.34 |        14974.97
 2026-12-01 00:00:00+02 |            667 |  5269320.58 |     7900.03 |           821.14 |        14995.82
 2026-11-01 00:00:00+02 |            595 |  4832034.33 |     8121.07 |           822.55 |        14990.60
 2026-10-01 00:00:00+03 |            661 |  5192119.33 |     7854.95 |           825.51 |        14981.23
 2026-09-01 00:00:00+03 |            626 |  4908219.52 |     7840.61 |           805.09 |        14996.28
 2026-08-01 00:00:00+03 |            636 |  5084163.71 |     7993.97 |           833.49 |        14998.15
 2026-07-01 00:00:00+03 |            579 |  4438658.58 |     7666.08 |           822.23 |        14993.42
 2026-06-01 00:00:00+03 |            583 |  4388187.69 |     7526.91 |           820.64 |        14971.36
 2026-05-01 00:00:00+03 |            538 |  4082029.26 |     7587.41 |           858.42 |        14953.35
 2026-04-01 00:00:00+03 |            541 |  4142425.44 |     7656.98 |           879.92 |        14980.59
 2026-03-01 00:00:00+02 |            502 |  3799565.82 |     7568.86 |           819.77 |        14981.27
 2026-02-01 00:00:00+02 |            496 |  3996392.38 |     8057.24 |           807.94 |        14994.92
 2026-01-01 00:00:00+02 |            534 |  4016938.08 |     7522.36 |           822.48 |        14986.84
 2025-12-01 00:00:00+02 |            471 |  3619736.34 |     7685.22 |           812.60 |        14952.41
 2025-11-01 00:00:00+02 |            466 |  3597445.17 |     7719.84 |           812.92 |        14986.40
 2025-10-01 00:00:00+03 |            469 |  3760789.55 |     8018.74 |           825.58 |        14946.07
 2025-09-01 00:00:00+03 |            446 |  3595170.18 |     8060.92 |           817.29 |        14944.43
 2025-08-01 00:00:00+03 |            471 |  3951674.91 |     8389.97 |           849.70 |        14956.10
 2025-07-01 00:00:00+03 |            462 |  3537710.91 |     7657.38 |           810.04 |        14972.15
 2025-06-01 00:00:00+03 |            434 |  3225584.32 |     7432.22 |           830.71 |        14997.58
 2025-05-01 00:00:00+03 |            450 |  3422154.28 |     7604.79 |           805.85 |        14996.37
 2025-04-01 00:00:00+03 |            376 |  2911537.31 |     7743.45 |           814.06 |        14936.24
 2025-03-01 00:00:00+02 |            379 |  2952303.39 |     7789.72 |           804.41 |        14981.27
 2025-02-01 00:00:00+02 |            392 |  3040864.00 |     7757.31 |           869.87 |        14979.12
 2025-01-01 00:00:00+02 |            368 |  2787357.59 |     7574.34 |           818.67 |        14970.71
 2024-12-01 00:00:00+02 |            393 |  3066036.21 |     7801.62 |           819.87 |        14970.26
 2024-11-01 00:00:00+02 |            375 |  2944352.41 |     7851.61 |           838.71 |        14952.66
 2024-10-01 00:00:00+03 |            389 |  3064909.68 |     7878.95 |           808.81 |        14915.58
 2024-09-01 00:00:00+03 |            337 |  2774534.46 |     8233.04 |           842.30 |        14963.78
 2024-08-01 00:00:00+03 |            341 |  2700690.99 |     7919.91 |           813.71 |        14925.05
 2024-07-01 00:00:00+03 |            351 |  2803125.37 |     7986.11 |           825.77 |        14900.62
 2024-06-01 00:00:00+03 |            321 |  2441804.89 |     7606.87 |           818.41 |        14911.15
 2024-05-01 00:00:00+03 |            314 |  2358182.51 |     7510.14 |           808.39 |        14855.30
 2024-04-01 00:00:00+03 |            325 |  2549413.03 |     7844.35 |           887.48 |        14949.98
 2024-03-01 00:00:00+02 |            320 |  2609374.83 |     8154.30 |           811.09 |        14982.94
 2024-02-01 00:00:00+02 |            295 |  2305153.25 |     7814.08 |           807.72 |        14985.78
 2024-01-01 00:00:00+02 |            260 |  2040207.01 |     7846.95 |           854.43 |        14825.71
 2023-12-01 00:00:00+02 |            286 |  2333306.32 |     8158.41 |           820.26 |        14955.73
 2023-11-01 00:00:00+02 |            244 |  1954877.97 |     8011.79 |           809.17 |        14846.54
 2023-10-01 00:00:00+03 |            257 |  2119406.32 |     8246.72 |          1156.34 |        14999.89
 2023-09-01 00:00:00+03 |            265 |  1980516.41 |     7473.65 |           828.53 |        14905.57
 2023-08-01 00:00:00+03 |            245 |  1910892.24 |     7799.56 |           813.16 |        14952.22
 2023-07-01 00:00:00+03 |            279 |  2121975.20 |     7605.65 |           808.12 |        14953.81
 2023-06-01 00:00:00+03 |            223 |  1786271.70 |     8010.19 |          1033.74 |        14942.28
 2023-05-01 00:00:00+03 |            246 |  1993095.61 |     8102.01 |           815.36 |        14970.05
 2023-04-01 00:00:00+03 |            230 |  1836044.78 |     7982.80 |           808.17 |        14843.92
 2023-03-01 00:00:00+02 |            236 |  1895331.24 |     8031.06 |           862.40 |        14997.87
 2023-02-01 00:00:00+02 |            214 |  1797637.33 |     8400.17 |           816.15 |        14890.07
 2023-01-01 00:00:00+02 |            203 |  1633042.65 |     8044.55 |           812.70 |        14996.62
 2022-12-01 00:00:00+02 |            196 |  1470931.67 |     7504.75 |           944.11 |        14873.43
 2022-11-01 00:00:00+02 |            181 |  1382516.72 |     7638.21 |           976.95 |        14850.95
 2022-10-01 00:00:00+03 |            198 |  1482783.69 |     7488.81 |           828.32 |        14906.36
 2022-09-01 00:00:00+03 |            183 |  1464984.93 |     8005.38 |           820.41 |        14886.25
 2022-08-01 00:00:00+03 |            179 |  1444663.84 |     8070.75 |           843.28 |        14977.36
 2022-07-01 00:00:00+03 |            167 |  1437339.50 |     8606.82 |           825.33 |        14930.19
 2022-06-01 00:00:00+03 |            156 |  1284073.19 |     8231.24 |           945.11 |        14995.15
 2022-05-01 00:00:00+03 |            153 |  1209197.44 |     7903.25 |           954.37 |        14980.28
 2022-04-01 00:00:00+03 |            133 |   996712.04 |     7494.08 |           876.46 |        14998.62
 2022-03-01 00:00:00+02 |            157 |  1264945.29 |     8056.98 |           879.62 |        14952.03
 2022-02-01 00:00:00+02 |            131 |  1101786.72 |     8410.59 |          1022.89 |        14999.15
 2022-01-01 00:00:00+02 |            135 |  1099621.17 |     8145.34 |           877.19 |        14936.18
 2021-12-01 00:00:00+02 |            134 |  1051272.23 |     7845.32 |           861.25 |        14980.49
 2021-11-01 00:00:00+02 |            129 |   995761.83 |     7719.08 |           863.04 |        14933.44
 2021-10-01 00:00:00+03 |            117 |   872457.58 |     7456.90 |           886.70 |        14865.43
 2021-09-01 00:00:00+03 |            100 |   755508.71 |     7555.09 |           845.16 |        14987.67
 2021-08-01 00:00:00+03 |            111 |   929743.69 |     8376.07 |           893.51 |        14809.53
 2021-07-01 00:00:00+03 |            111 |   782248.45 |     7047.28 |           922.50 |        14844.62
 2021-06-01 00:00:00+03 |             79 |   630252.76 |     7977.88 |           868.29 |        14829.81
 2021-05-01 00:00:00+03 |            103 |   820689.78 |     7967.86 |           875.13 |        14891.45
 2021-04-01 00:00:00+03 |             85 |   706665.33 |     8313.71 |          1519.49 |        14978.93
 2021-03-01 00:00:00+02 |             66 |   533789.91 |     8087.73 |          1000.41 |        14820.38
 2021-02-01 00:00:00+02 |             72 |   638605.26 |     8869.52 |          1105.71 |        14978.75
 2021-01-01 00:00:00+02 |             66 |   518084.42 |     7849.76 |          1042.46 |        14052.91
 2020-12-01 00:00:00+02 |             55 |   416638.77 |     7575.25 |           866.42 |        13570.43
 2020-11-01 00:00:00+02 |             46 |   355579.43 |     7729.99 |          1161.89 |        13989.75
 2020-10-01 00:00:00+03 |             34 |   301966.90 |     8881.38 |          1169.40 |        14935.24
 2020-09-01 00:00:00+03 |             33 |   257678.61 |     7808.44 |          1042.50 |        14719.08
 2020-08-01 00:00:00+03 |             33 |   256435.02 |     7770.76 |          1258.56 |        14947.27
 2020-07-01 00:00:00+03 |             24 |   163766.42 |     6823.60 |           875.09 |        14548.24
 2020-06-01 00:00:00+03 |             24 |   201626.21 |     8401.09 |           809.54 |        13910.90
 2020-05-01 00:00:00+03 |             26 |   195057.33 |     7502.21 |           849.04 |        14262.40
 2020-04-01 00:00:00+03 |             28 |   209684.80 |     7488.74 |          1392.10 |        14523.53
